order_id,user_id,session_id,order_amount,category,order_timestamp
O00000283,U0091228,S00004526,"? 3,152",fashion,22-10-2023 21:30
O00000284,U0091228,S00004549,"? 2,413",beauty,08-10-2023 04:46
O00000285,U0091228,S00004563,"? 2,983",electronics,27-06-2024 05:03
O00000286,U0091228,S00004577,"? 1,881",toys,06-12-2023 13:05
O00000287,U0091228,S00004587,"? 2,938",fashion,08-02-2023 18:54
O00000288,U0091228,S00004590,"? 1,394",grocery,07-01-2023 16:22
O00000289,U0091228,S00004597,"? 2,453",beauty,28-03-2023 15:49
O00000290,U0091228,S00004626,"? 1,731",grocery,29-06-2023 22:24
O00000291,U0091228,S00004690,"? 2,956",fashion,28-04-2024 17:28
O00000292,U0009744,S00004711,"? 1,661",sports,03-03-2024 17:57
O00000293,U0091228,S00004742,"? 4,473",beauty,18-05-2023 13:51
O00000294,U0031031,S00004746,"? 1,532",fashion,03-05-2024 07:36
O00000295,U0091228,S00004799,"? 2,741",beauty,02-04-2024 00:46
O00000296,U0091228,S00004804,"? 1,987",fashion,17-01-2023 06:55
O00000297,U0091228,S00004807,"? 2,102",books,29-10-2023 20:32
O00000298,U0031031,S00004824,"? 1,309",home_decor,16-06-2024 06:27
O00000299,U0091228,S00004852,"? 4,333",electronics,22-06-2023 23:15
O00000300,U0091228,S00004877,"? 1,357",electronics,02-02-2024 10:08
O00000301,U0091228,S00004885,"? 3,495",toys,21-06-2024 06:59
O00000302,U0091228,S00004891,"? 2,169",electronics,03-03-2024 04:48
O00000303,U0091228,S00004904,"? 1,090",grocery,28-03-2023 10:27
O00000304,U0091228,S00004919,"? 4,488",electronics,14-10-2023 09:19
O00000305,U0091228,S00004920,"? 3,840",fashion,02-05-2024 11:23
O00000306,U0091228,S00004921,"? 2,029",fashion,01-05-2024 00:09
O00000307,U0009744,S00004940,"? 1,130",books,06-03-2023 20:37
O00000308,U0091228,S00004967,"? 1,673",fashion,08-01-2023 04:21
O00000309,U0091228,S00004970,"? 4,405",beauty,30-03-2023 23:33
O00000310,U0091228,S00004972,"? 1,375",electronics,03-03-2024 10:36
O00000311,U0091228,S00004986,"? 2,366",books,11-08-2023 05:39
O00000312,U0091228,S00005028,"? 2,501",electronics,15-04-2024 05:57
O00000313,U0091228,S00005030,"? 2,020",fashion,10-06-2024 04:54
O00000314,U0053386,S00005047,"? 1,947",home_decor,08-11-2023 19:58
O00000315,U0050228,S00005052,"? 1,108",grocery,20-05-2024 03:12
O00000316,U0091228,S00005067,"? 4,550",electronics,21-02-2024 13:56
O00000317,U0091228,S00005087,"? 2,638",fashion,05-01-2024 13:45
O00000318,U0091228,S00005111,"? 3,683",home_decor,24-01-2024 22:44
O00000319,U0091228,S00005117,"? 1,004",fashion,06-04-2023 08:40
O00000320,U0091228,S00005133,"? 2,930",books,01-05-2024 01:40
O00000321,U0091228,S00005145,"? 2,814",home_decor,30-09-2023 03:57
O00000322,U0091228,S00005150,"? 1,777",sports,14-08-2023 06:50
O00000323,U0091228,S00005158,"? 3,259",grocery,20-02-2023 05:59
O00000324,U0091228,S00005236,"? 1,189",fashion,10-02-2024 05:58
O00000325,U0091228,S00005237,"? 1,418",electronics,11-06-2024 23:04
O00000326,U0091228,S00005238,"? 1,942",grocery,20-05-2024 18:26
O00000327,U0091228,S00005241,? 890,grocery,28-01-2024 07:34
O00000328,U0091228,S00005260,"? 2,785",electronics,23-06-2023 06:17
O00000329,U0091228,S00005279,"? 3,778",grocery,20-08-2023 09:32
O00000330,U0091228,S00005327,"? 3,319",fashion,09-05-2024 17:28
O00000331,U0091228,S00005340,"? 2,381",home_decor,03-05-2024 02:32
O00000332,U0027286,S00005367,"? 2,117",home_decor,23-08-2023 11:07
O00000333,U0091228,S00005413,"? 1,951",home_decor,18-04-2023 00:07
O00000334,U0091228,S00005425,"? 3,079",fashion,24-03-2024 19:04
O00000335,U0091228,S00005430,"? 3,180",grocery,15-07-2023 20:51
O00000336,U0091228,S00005435,"? 3,115",books,19-05-2024 07:22
O00000337,U0091228,S00005471,"? 3,692",fashion,12-05-2023 03:32
O00000338,U0091228,S00005475,"? 2,006",fashion,30-10-2023 13:38
O00000339,U0091228,S00005483,"? 2,941",fashion,16-02-2024 17:07
O00000340,U0091228,S00005491,"? 1,250",electronics,09-05-2023 21:00
O00000341,U0091228,S00005495,"? 3,282",toys,27-01-2024 14:13
O00000342,U0091228,S00005514,? 682,beauty,07-06-2024 11:05
O00000343,U0091228,S00005535,"? 1,560",electronics,12-11-2023 04:04
O00000344,U0091228,S00005573,"? 1,673",books,04-04-2024 07:28
O00000345,U0091228,S00005594,"? 2,198",grocery,31-01-2023 10:04
O00000346,U0091228,S00005623,"? 4,126",electronics,06-09-2023 23:24
O00000347,U0093177,S00005632,"? 2,125",electronics,20-01-2024 16:37
O00000348,U0091228,S00005634,"? 3,850",electronics,07-03-2024 02:53
O00000349,U0091228,S00005667,"? 1,680",electronics,11-09-2023 18:12
O00000350,U0091228,S00005681,"? 2,040",fashion,28-02-2023 10:24
O00000351,U0091228,S00005708,"? 3,733",electronics,29-04-2024 01:01
O00000352,U0091228,S00005764,"? 3,072",grocery,07-04-2023 01:32
O00000353,U0018002,S00005782,"? 1,399",fashion,24-09-2023 20:09
O00000354,U0091228,S00005790,"? 1,012",electronics,27-03-2024 23:33
O00000355,U0091228,S00005808,"? 1,739",fashion,02-01-2024 04:05
O00000356,U0091228,S00005830,? 855,home_decor,09-05-2024 18:22
O00000357,U0091228,S00005837,"? 3,601",electronics,04-01-2024 23:36
O00000358,U0091228,S00005847,? 891,grocery,14-09-2023 06:18
O00000359,U0091228,S00005908,"? 1,194",electronics,19-02-2023 16:01
O00000360,U0091228,S00005938,"? 1,259",fashion,10-08-2023 05:25
O00000361,U0091228,S00005942,"? 2,343",fashion,17-08-2023 08:52
O00000362,U0091228,S00005945,"? 3,081",grocery,19-02-2024 18:57
O00000363,U0091228,S00005952,"? 3,057",electronics,07-03-2024 02:09
O00000364,U0091228,S00005965,"? 3,531",fashion,05-02-2023 12:57
O00000365,U0091228,S00005991,"? 4,175",electronics,01-05-2023 11:52
O00000366,U0091228,S00006057,"? 3,236",beauty,23-07-2023 23:49
O00000367,U0091228,S00006058,"? 1,370",beauty,15-01-2023 06:16
O00000368,U0091228,S00006081,"? 4,168",beauty,15-03-2023 08:13
O00000369,U0091228,S00006086,"? 2,533",fashion,17-01-2024 14:36
O00000370,U0091228,S00006139,? 588,electronics,16-07-2023 19:26
O00000371,U0091228,S00006144,"? 1,393",grocery,17-09-2023 15:40
O00000372,U0091228,S00006148,"? 2,564",books,03-05-2023 21:53
O00000373,U0091228,S00006152,"? 3,458",electronics,10-02-2023 02:09
O00000374,U0091228,S00006176,"? 1,535",grocery,22-03-2023 23:27
O00000375,U0091228,S00006181,? 946,grocery,09-03-2024 20:38
O00000376,U0083154,S00006184,"? 1,839",beauty,04-06-2024 12:00
O00000377,U0091228,S00006188,"? 1,720",beauty,14-03-2024 06:03
O00000378,U0091228,S00006217,? 996,electronics,17-06-2023 20:47
O00000379,U0091228,S00006310,"? 3,201",beauty,27-07-2023 09:27
O00000380,U0091228,S00006312,? 860,beauty,19-08-2023 15:32
