session_id,user_id,device,channel,session_start_timestamp,session_end_timestamp,session_duration_sec
S00000052,U0091228,mobile,paid_ads,02-04-2024 04:59,02-04-2024 05:01,121
S00000053,U0091228,desktop,organic,07-12-2023 14:49,07-12-2023 14:59,633
S00000054,U0091228,tablet,organic,08-03-2024 14:38,08-03-2024 14:39,72
S00000055,U0091228,mobile,paid_ads,18-10-2023 08:24,18-10-2023 08:26,114
S00000056,U0091228,desktop,referral,05-09-2023 05:37,05-09-2023 05:39,126
S00000057,U0091228,mobile,paid_ads,04-04-2024 04:08,04-04-2024 04:10,169
S00000058,U0091228,mobile,organic,26-03-2023 15:00,26-03-2023 15:02,130
S00000059,U0091228,mobile,organic,09-06-2023 14:04,09-06-2023 14:06,118
S00000060,U0074716,mobile,paid_ads,29-04-2023 17:11,29-04-2023 17:13,123
S00000061,U0031009,mobile,organic,28-01-2023 04:07,28-01-2023 04:14,408
S00000062,U0091228,desktop,organic,02-07-2023 10:39,02-07-2023 10:44,291
S00000063,U0091228,mobile,direct,17-03-2024 11:56,17-03-2024 11:58,135
S00000064,U0091228,mobile,direct,11-06-2024 13:14,11-06-2024 13:14,34
S00000065,U0091228,desktop,referral,23-11-2023 00:32,23-11-2023 00:38,377
S00000066,U0091228,desktop,direct,12-03-2024 09:27,12-03-2024 09:31,240
S00000067,U0091228,mobile,paid_ads,16-02-2023 17:53,16-02-2023 17:55,159
S00000068,U0091228,mobile,organic,29-05-2024 23:23,29-05-2024 23:24,36
S00000069,U0091228,desktop,paid_ads,20-12-2023 11:28,20-12-2023 11:31,165
S00000070,U0091228,tablet,organic,30-11-2023 17:53,30-11-2023 17:56,126
S00000071,U0091228,desktop,direct,05-12-2023 06:42,05-12-2023 06:47,277
S00000072,U0091228,mobile,referral,28-05-2024 10:12,28-05-2024 10:15,195
S00000073,U0091228,mobile,direct,26-01-2023 19:49,26-01-2023 19:50,62
S00000074,U0091228,mobile,direct,13-12-2023 05:45,13-12-2023 05:50,325
S00000075,U0091228,mobile,referral,06-11-2023 01:54,06-11-2023 01:57,139
S00000076,U0091228,desktop,paid_ads,20-05-2023 00:09,20-05-2023 00:12,151
S00000077,U0091228,desktop,paid_ads,19-05-2023 10:33,19-05-2023 10:34,42
S00000078,U0040108,mobile,paid_ads,20-02-2023 14:28,20-02-2023 14:31,164
S00000079,U0057134,mobile,referral,04-04-2024 19:18,04-04-2024 19:22,197
S00000080,U0063655,mobile,paid_ads,17-01-2023 14:06,17-01-2023 14:11,287
S00000081,U0017657,desktop,direct,30-10-2023 04:03,30-10-2023 04:04,83
S00000082,U0091228,tablet,paid_ads,18-01-2024 17:28,18-01-2024 17:31,136
S00000083,U0091228,mobile,referral,06-06-2023 03:17,06-06-2023 03:18,119
S00000084,U0091228,mobile,paid_ads,26-01-2023 08:32,26-01-2023 08:36,274
S00000085,U0091228,desktop,paid_ads,11-06-2023 09:25,11-06-2023 09:35,597
S00000086,U0091228,mobile,organic,02-10-2023 07:16,02-10-2023 07:18,118
S00000087,U0091228,mobile,direct,18-04-2023 02:00,18-04-2023 02:03,191
S00000088,U0063655,mobile,referral,01-07-2023 04:35,01-07-2023 04:37,78
S00000089,U0091228,desktop,referral,14-11-2023 03:51,14-11-2023 03:54,175
S00000090,U0091228,mobile,referral,25-03-2024 03:58,25-03-2024 04:09,624
S00000091,U0091228,desktop,referral,11-05-2023 21:44,11-05-2023 21:48,225
S00000092,U0091228,mobile,paid_ads,27-01-2023 11:22,27-01-2023 11:23,83
S00000093,U0091228,mobile,referral,25-05-2023 17:32,25-05-2023 17:35,197
S00000094,U0091228,desktop,referral,27-08-2023 16:57,27-08-2023 17:01,280
S00000095,U0091228,mobile,organic,26-11-2023 01:56,26-11-2023 01:57,56
S00000096,U0091228,mobile,referral,09-10-2023 19:39,09-10-2023 19:42,161
S00000097,U0091228,mobile,paid_ads,26-05-2024 00:55,26-05-2024 00:59,208
S00000098,U0091228,desktop,organic,15-07-2023 10:32,15-07-2023 10:35,167
S00000099,U0091228,mobile,paid_ads,18-05-2023 23:00,18-05-2023 23:01,27
S00000100,U0091228,mobile,referral,28-02-2023 21:51,28-02-2023 21:53,146
S00000101,U0009946,desktop,paid_ads,10-03-2023 13:55,10-03-2023 14:01,360
S00000102,U0091228,desktop,organic,24-04-2023 19:02,24-04-2023 19:05,132
S00000103,U0091228,mobile,paid_ads,08-08-2023 05:54,08-08-2023 05:56,139
S00000104,U0091228,desktop,referral,04-09-2023 03:16,04-09-2023 03:18,71
S00000105,U0091228,mobile,organic,03-06-2023 20:20,03-06-2023 20:25,285
S00000106,U0091228,mobile,paid_ads,19-03-2024 06:28,19-03-2024 06:34,418
S00000107,U0074716,mobile,paid_ads,15-01-2023 14:43,15-01-2023 14:46,203
S00000108,U0091228,desktop,organic,08-01-2023 17:04,08-01-2023 17:05,9
S00000109,U0091228,mobile,referral,03-02-2023 22:25,03-02-2023 22:28,152
S00000110,U0091228,desktop,paid_ads,04-06-2023 15:03,04-06-2023 15:09,349
S00000111,U0091228,mobile,paid_ads,15-06-2024 22:19,15-06-2024 22:21,114
S00000112,U0091228,mobile,paid_ads,02-05-2023 02:58,02-05-2023 03:05,421
S00000113,U0091228,tablet,paid_ads,23-11-2023 07:30,23-11-2023 07:32,155
S00000114,U0050228,mobile,paid_ads,19-01-2023 11:34,19-01-2023 11:40,368
S00000115,U0091228,mobile,referral,23-08-2023 21:29,23-08-2023 21:29,18
S00000116,U0091228,mobile,paid_ads,05-06-2023 14:18,05-06-2023 14:22,201
S00000117,U0091228,mobile,direct,23-05-2024 09:59,23-05-2024 10:04,294
S00000118,U0091228,mobile,organic,18-09-2023 01:52,18-09-2023 01:59,416
S00000119,U0091228,desktop,organic,25-08-2023 05:08,25-08-2023 05:09,86
S00000120,U0091228,desktop,paid_ads,20-07-2023 07:39,20-07-2023 07:43,271
S00000121,U0091228,mobile,referral,31-12-2023 05:43,31-12-2023 05:52,526
S00000122,U0085469,mobile,referral,25-04-2023 19:01,25-04-2023 19:05,218
S00000123,U0091228,mobile,organic,31-10-2023 22:44,31-10-2023 22:52,482
S00000124,U0091228,mobile,organic,14-11-2023 17:25,14-11-2023 17:25,11
S00000125,U0091228,mobile,referral,08-05-2023 14:26,08-05-2023 14:33,430
S00000126,U0091228,desktop,referral,28-10-2023 22:11,28-10-2023 22:19,501
S00000127,U0091228,desktop,paid_ads,25-12-2023 11:22,25-12-2023 11:27,286
S00000128,U0091228,mobile,organic,13-05-2024 00:56,13-05-2024 01:08,714
S00000129,U0091228,mobile,paid_ads,17-08-2023 00:47,17-08-2023 00:49,97
S00000130,U0091228,tablet,organic,17-06-2024 20:51,17-06-2024 20:53,135
S00000131,U0091228,mobile,paid_ads,14-04-2023 21:29,14-04-2023 21:31,123
S00000132,U0091228,mobile,paid_ads,22-08-2023 16:08,22-08-2023 16:11,148
S00000133,U0091228,desktop,paid_ads,06-04-2023 12:56,06-04-2023 12:57,92
S00000134,U0091228,tablet,direct,24-01-2023 08:34,24-01-2023 08:38,259
S00000135,U0091228,mobile,referral,20-11-2023 08:05,20-11-2023 08:12,455
S00000136,U0091228,desktop,paid_ads,07-02-2024 14:39,07-02-2024 14:44,279
S00000137,U0091228,mobile,direct,31-01-2024 03:29,31-01-2024 03:33,262
S00000138,U0091228,desktop,organic,09-04-2024 02:26,09-04-2024 02:31,273
S00000139,U0091228,mobile,referral,15-01-2023 00:38,15-01-2023 00:41,186
S00000140,U0091228,mobile,paid_ads,03-05-2024 16:33,03-05-2024 16:36,205
S00000141,U0091228,mobile,referral,02-06-2024 03:40,02-06-2024 03:40,11
S00000142,U0091228,mobile,paid_ads,17-09-2023 20:00,17-09-2023 20:04,229
S00000143,U0091228,mobile,organic,08-11-2023 03:29,08-11-2023 03:38,522
S00000144,U0091228,mobile,organic,14-12-2023 01:18,14-12-2023 01:21,192
S00000145,U0091228,mobile,referral,31-03-2024 23:25,31-03-2024 23:31,353
S00000146,U0009946,mobile,organic,18-12-2023 18:23,18-12-2023 18:25,123
S00000147,U0091228,mobile,paid_ads,27-12-2023 05:09,27-12-2023 05:12,172
S00000148,U0091228,mobile,paid_ads,23-09-2023 01:25,23-09-2023 01:28,157
S00000149,U0091228,mobile,referral,06-02-2024 04:20,06-02-2024 04:30,615
S00000150,U0091228,desktop,referral,13-03-2023 05:46,13-03-2023 05:47,55
S00000151,U0031031,tablet,organic,10-04-2024 22:20,10-04-2024 22:20,30
S00000152,U0091228,mobile,paid_ads,17-06-2023 01:45,17-06-2023 01:53,480
S00000153,U0091228,mobile,referral,27-03-2024 17:42,27-03-2024 17:53,640
S00000154,U0091228,mobile,paid_ads,17-08-2023 20:05,17-08-2023 20:06,68
S00000155,U0050228,mobile,referral,08-04-2024 02:49,08-04-2024 02:57,528
S00000156,U0091228,mobile,organic,08-01-2024 20:19,08-01-2024 20:22,181
S00000157,U0009744,mobile,organic,26-04-2023 15:18,26-04-2023 15:21,189
S00000158,U0091228,mobile,paid_ads,16-06-2024 13:42,16-06-2024 13:47,293
S00000159,U0091228,mobile,organic,25-07-2023 11:08,25-07-2023 11:12,226
S00000160,U0091228,mobile,referral,03-06-2024 08:58,03-06-2024 09:01,204
S00000161,U0091228,desktop,organic,26-06-2024 00:01,26-06-2024 00:05,219
S00000162,U0091228,mobile,paid_ads,08-02-2023 05:17,08-02-2023 05:23,363
S00000163,U0091228,mobile,referral,14-06-2024 13:17,14-06-2024 13:20,213
S00000164,U0053422,desktop,referral,16-07-2023 08:33,16-07-2023 08:39,374
S00000165,U0091228,desktop,direct,12-12-2023 10:45,12-12-2023 10:48,213
S00000166,U0091228,mobile,direct,16-01-2024 05:33,16-01-2024 05:34,91
S00000167,U0091228,desktop,paid_ads,28-03-2023 20:15,28-03-2023 20:18,188
S00000168,U0091228,desktop,organic,25-02-2023 23:58,26-02-2023 00:03,292
S00000169,U0091228,desktop,paid_ads,20-01-2023 21:34,20-01-2023 21:39,263
S00000170,U0091228,mobile,paid_ads,28-05-2023 16:38,28-05-2023 16:39,110
S00000171,U0091228,mobile,referral,03-08-2023 17:55,03-08-2023 17:58,156
S00000172,U0091228,desktop,organic,04-04-2023 09:09,04-04-2023 09:14,296
S00000173,U0091228,desktop,referral,29-09-2023 19:24,29-09-2023 19:25,62
S00000174,U0067397,desktop,paid_ads,05-01-2024 01:27,05-01-2024 01:31,198
S00000175,U0091228,mobile,direct,14-02-2024 13:55,14-02-2024 13:57,151
S00000176,U0091228,desktop,organic,21-04-2024 07:04,21-04-2024 07:13,499
S00000177,U0091228,mobile,organic,02-06-2024 21:28,02-06-2024 21:39,700
S00000178,U0091228,mobile,referral,27-05-2023 23:06,27-05-2023 23:12,359
S00000179,U0091228,desktop,referral,24-01-2023 18:07,24-01-2023 18:07,11
S00000180,U0091228,mobile,paid_ads,15-12-2023 05:28,15-12-2023 05:29,22
S00000181,U0091228,mobile,organic,25-04-2024 03:51,25-04-2024 04:01,615
S00000182,U0091228,desktop,paid_ads,19-01-2024 08:27,19-01-2024 08:29,67
S00000183,U0091228,mobile,organic,25-06-2023 10:23,25-06-2023 10:30,388
S00000184,U0091228,mobile,paid_ads,18-02-2023 22:43,18-02-2023 22:45,112
S00000185,U0091228,desktop,paid_ads,30-04-2024 00:09,30-04-2024 00:18,532
S00000186,U0091228,desktop,organic,27-01-2024 22:54,27-01-2024 22:57,193
S00000187,U0074716,tablet,paid_ads,30-06-2023 08:32,30-06-2023 08:35,183
S00000188,U0091228,tablet,direct,24-01-2023 13:16,24-01-2023 13:26,627
S00000189,U0069819,tablet,direct,29-01-2024 19:05,29-01-2024 19:07,125
S00000190,U0091228,desktop,paid_ads,22-04-2024 02:12,22-04-2024 02:18,373
S00000191,U0091228,tablet,organic,30-03-2023 21:56,30-03-2023 21:58,91
S00000192,U0091228,mobile,organic,08-10-2023 09:34,08-10-2023 09:39,316
S00000193,U0091228,mobile,referral,09-02-2024 16:43,09-02-2024 16:43,30
S00000194,U0091228,desktop,paid_ads,29-06-2023 06:22,29-06-2023 06:22,22
S00000195,U0074716,mobile,paid_ads,21-11-2023 01:17,21-11-2023 01:20,124
S00000196,U0091228,desktop,organic,08-01-2024 00:10,08-01-2024 00:13,170
S00000197,U0085469,mobile,organic,03-02-2024 19:53,03-02-2024 19:56,168
S00000198,U0091228,desktop,organic,28-01-2024 02:23,28-01-2024 02:33,620
S00000199,U0091228,tablet,organic,19-02-2023 21:07,19-02-2023 21:10,213
S00000200,U0091228,mobile,organic,22-05-2024 22:50,22-05-2024 22:53,152
S00000201,U0091228,desktop,paid_ads,20-01-2023 01:09,20-01-2023 01:13,265
S00000202,U0091228,mobile,organic,02-02-2023 23:19,02-02-2023 23:20,66
S00000203,U0091228,mobile,referral,23-08-2023 07:35,23-08-2023 07:43,459
S00000204,U0091228,mobile,paid_ads,28-04-2023 04:33,28-04-2023 04:36,197
S00000205,U0091228,desktop,paid_ads,02-01-2024 11:46,02-01-2024 11:50,252
S00000206,U0091228,mobile,organic,16-12-2023 16:45,16-12-2023 16:46,13
S00000207,U0091228,mobile,organic,25-02-2023 07:21,25-02-2023 07:30,528
S00000208,U0091228,desktop,organic,20-06-2024 13:54,20-06-2024 13:56,100
S00000209,U0085469,desktop,paid_ads,03-02-2023 21:26,03-02-2023 21:31,282
S00000210,U0091228,mobile,paid_ads,04-04-2024 03:47,04-04-2024 03:48,41
S00000211,U0091228,mobile,referral,14-07-2023 05:44,14-07-2023 05:48,209
S00000212,U0091228,mobile,referral,04-02-2023 00:05,04-02-2023 00:08,212
S00000213,U0091228,mobile,referral,12-12-2023 14:09,12-12-2023 14:12,143
S00000214,U0091228,mobile,direct,23-09-2023 04:05,23-09-2023 04:14,554
S00000215,U0091228,mobile,direct,08-09-2023 00:20,08-09-2023 00:23,199
S00000216,U0009946,mobile,direct,20-06-2023 06:29,20-06-2023 06:35,402
S00000217,U0091228,mobile,organic,05-02-2023 11:49,05-02-2023 11:58,559
S00000218,U0091228,desktop,paid_ads,27-11-2023 19:23,27-11-2023 19:32,546
S00000219,U0091228,mobile,paid_ads,13-06-2024 00:01,13-06-2024 00:05,216
S00000220,U0091228,mobile,organic,18-10-2023 22:16,18-10-2023 22:18,148
S00000221,U0091228,desktop,direct,07-02-2023 04:13,07-02-2023 04:18,269
S00000222,U0009946,desktop,referral,01-06-2024 16:57,01-06-2024 17:01,231
S00000223,U0091228,mobile,paid_ads,08-08-2023 15:52,08-08-2023 15:52,30
S00000224,U0079573,desktop,organic,19-03-2024 11:23,19-03-2024 11:27,212
S00000225,U0091228,tablet,organic,28-04-2023 05:37,28-04-2023 05:41,286
S00000226,U0091228,desktop,organic,18-10-2023 12:37,18-10-2023 12:42,290
S00000227,U0091228,desktop,organic,19-09-2023 22:22,19-09-2023 22:25,157
S00000228,U0091228,mobile,organic,10-05-2023 23:13,10-05-2023 23:23,623
S00000229,U0091228,desktop,referral,04-09-2023 00:08,04-09-2023 00:22,856
S00000230,U0091228,mobile,organic,01-08-2023 17:34,01-08-2023 17:36,161
S00000231,U0091228,tablet,paid_ads,22-01-2024 11:29,22-01-2024 11:31,112
S00000232,U0091228,tablet,organic,22-02-2024 14:33,22-02-2024 14:36,182
S00000233,U0091228,desktop,direct,15-06-2024 00:42,15-06-2024 00:45,202
S00000234,U0091228,mobile,paid_ads,08-05-2023 05:49,08-05-2023 05:50,63
S00000235,U0091228,mobile,organic,17-12-2023 16:39,17-12-2023 16:41,94
S00000236,U0091228,desktop,organic,06-04-2024 14:42,06-04-2024 14:45,184
S00000237,U0091228,mobile,paid_ads,23-03-2023 16:32,23-03-2023 16:33,33
S00000238,U0091228,mobile,organic,31-07-2023 03:57,31-07-2023 03:59,74
S00000239,U0091228,desktop,paid_ads,10-06-2023 16:02,10-06-2023 16:09,378
S00000240,U0091228,tablet,direct,24-05-2024 22:32,24-05-2024 22:37,286
S00000241,U0091228,mobile,paid_ads,27-02-2024 03:10,27-02-2024 03:11,82
S00000242,U0091228,mobile,organic,28-03-2024 22:48,28-03-2024 22:59,614
S00000243,U0091228,mobile,organic,27-04-2024 01:08,27-04-2024 01:14,385
S00000244,U0091228,mobile,organic,29-04-2024 16:48,29-04-2024 16:50,126
S00000245,U0091228,desktop,direct,28-11-2023 12:31,28-11-2023 12:40,534
S00000246,U0091228,desktop,direct,23-08-2023 18:54,23-08-2023 18:56,119
S00000247,U0091228,desktop,organic,28-05-2024 02:23,28-05-2024 02:26,208
S00000248,U0009744,desktop,organic,26-04-2024 08:18,26-04-2024 08:22,213
S00000249,U0091228,mobile,referral,22-12-2023 08:06,22-12-2023 08:06,17
S00000250,U0091228,desktop,organic,24-02-2023 07:24,24-02-2023 07:32,493
S00000251,U0091228,tablet,referral,15-12-2023 20:45,15-12-2023 20:52,408
S00000252,U0091228,desktop,referral,15-02-2023 04:02,15-02-2023 04:06,240
S00000253,U0091228,tablet,direct,28-02-2024 21:59,28-02-2024 22:07,463
S00000254,U0091228,desktop,organic,29-03-2023 16:19,29-03-2023 16:30,661
S00000255,U0091228,desktop,paid_ads,01-05-2024 13:45,01-05-2024 13:57,713
S00000256,U0091228,mobile,paid_ads,19-09-2023 00:34,19-09-2023 00:36,160
S00000257,U0009744,tablet,direct,05-12-2023 22:39,05-12-2023 22:40,31
S00000258,U0091228,mobile,direct,17-03-2024 04:12,17-03-2024 04:15,170
S00000259,U0017163,desktop,organic,12-09-2023 13:05,12-09-2023 13:06,82
S00000260,U0091228,desktop,direct,21-05-2023 05:33,21-05-2023 05:37,250
S00000261,U0091228,desktop,paid_ads,02-11-2023 15:40,02-11-2023 15:45,264
S00000262,U0091228,mobile,referral,13-03-2024 10:19,13-03-2024 10:22,196
S00000263,U0091228,desktop,organic,17-01-2023 02:36,17-01-2023 02:41,295
S00000264,U0091228,desktop,organic,24-07-2023 11:14,24-07-2023 11:20,337
S00000265,U0091228,desktop,organic,05-12-2023 13:17,05-12-2023 13:19,91
S00000266,U0091228,desktop,paid_ads,19-03-2023 00:23,19-03-2023 00:26,153
S00000267,U0091228,mobile,referral,05-02-2024 16:56,05-02-2024 17:06,557
S00000268,U0085469,mobile,paid_ads,24-04-2023 10:09,24-04-2023 10:11,111
S00000269,U0091228,mobile,organic,18-03-2023 08:07,18-03-2023 08:13,384
S00000270,U0091228,mobile,paid_ads,25-07-2023 21:42,25-07-2023 21:44,151
S00000271,U0091228,desktop,paid_ads,29-08-2023 10:52,29-08-2023 10:53,107
S00000272,U0091228,mobile,organic,20-02-2024 06:01,20-02-2024 06:04,157
S00000273,U0091228,desktop,referral,16-07-2023 05:56,16-07-2023 06:02,322
S00000274,U0091228,desktop,organic,22-02-2023 09:28,22-02-2023 09:31,209
S00000275,U0091228,desktop,direct,28-02-2023 18:17,28-02-2023 18:18,61
S00000276,U0091228,mobile,organic,06-08-2023 07:53,06-08-2023 07:55,134
S00000277,U0091228,mobile,organic,07-08-2023 09:34,07-08-2023 09:37,141
S00000278,U0091228,mobile,referral,17-11-2023 02:50,17-11-2023 02:53,166
S00000279,U0091228,desktop,organic,05-06-2023 08:00,05-06-2023 08:08,452
S00000280,U0091228,mobile,paid_ads,03-09-2023 10:03,03-09-2023 10:06,172
S00000281,U0084997,mobile,referral,19-12-2023 14:09,19-12-2023 14:10,55
S00000282,U0091228,mobile,direct,07-10-2023 09:10,07-10-2023 09:12,130
S00000283,U0091228,desktop,direct,11-03-2023 01:15,11-03-2023 01:16,92
S00000284,U0091228,mobile,paid_ads,23-01-2024 11:44,23-01-2024 11:47,172
S00000285,U0091228,mobile,direct,05-04-2023 10:41,05-04-2023 10:44,140
S00000286,U0091228,desktop,paid_ads,23-03-2023 20:36,23-03-2023 20:45,503
S00000287,U0091228,mobile,organic,27-04-2024 15:25,27-04-2024 15:28,176
S00000288,U0091228,desktop,direct,10-04-2024 21:07,10-04-2024 21:12,274
S00000289,U0091228,desktop,organic,21-03-2023 08:34,21-03-2023 08:38,222
S00000290,U0091228,mobile,paid_ads,10-02-2024 02:51,10-02-2024 02:54,154
S00000291,U0091228,desktop,direct,11-04-2023 00:52,11-04-2023 00:52,37
S00000292,U0091228,desktop,organic,19-01-2023 14:41,19-01-2023 14:45,220
S00000293,U0009744,mobile,referral,28-02-2023 06:27,28-02-2023 06:30,195
S00000294,U0091228,mobile,paid_ads,02-01-2023 04:22,02-01-2023 04:29,385
S00000295,U0091228,mobile,paid_ads,05-05-2023 09:35,05-05-2023 09:35,42
S00000296,U0091228,desktop,referral,03-11-2023 15:04,03-11-2023 15:10,368
S00000297,U0091228,mobile,direct,01-03-2023 08:45,01-03-2023 08:47,132
S00000298,U0050228,tablet,referral,10-02-2023 15:09,10-02-2023 15:14,258
S00000299,U0085469,mobile,organic,06-06-2024 08:40,06-06-2024 08:46,343
S00000300,U0091228,mobile,referral,29-07-2023 16:24,29-07-2023 16:24,19
S00000301,U0091228,desktop,paid_ads,23-02-2024 09:10,23-02-2024 09:14,214
S00000302,U0091228,mobile,direct,01-04-2023 08:57,01-04-2023 08:59,82
S00000303,U0091228,mobile,organic,08-02-2024 21:39,08-02-2024 21:44,328
S00000304,U0091228,mobile,organic,23-03-2024 15:42,23-03-2024 15:44,120
S00000305,U0091228,mobile,organic,10-04-2024 13:52,10-04-2024 13:59,458
S00000306,U0091228,mobile,organic,15-09-2023 05:24,15-09-2023 05:26,112
S00000307,U0091228,mobile,referral,29-06-2024 01:39,29-06-2024 01:41,130
S00000308,U0091228,tablet,paid_ads,21-03-2023 03:49,21-03-2023 03:54,297
S00000309,U0091228,mobile,organic,25-02-2023 02:37,25-02-2023 02:40,154
S00000310,U0091228,desktop,organic,07-04-2023 17:47,07-04-2023 17:52,287
S00000311,U0091228,mobile,paid_ads,14-01-2024 10:51,14-01-2024 10:56,289
S00000312,U0091228,desktop,direct,24-04-2024 05:10,24-04-2024 05:13,178
S00000313,U0091228,mobile,organic,27-11-2023 00:33,27-11-2023 00:33,11
S00000314,U0091228,mobile,paid_ads,30-03-2023 15:35,30-03-2023 15:39,239
S00000315,U0091228,mobile,referral,05-11-2023 08:10,05-11-2023 08:16,390
S00000316,U0091228,mobile,organic,13-05-2023 02:33,13-05-2023 02:33,24
S00000317,U0091228,mobile,direct,25-03-2023 23:46,25-03-2023 23:47,33
S00000318,U0091228,mobile,direct,01-02-2024 21:23,01-02-2024 21:26,174
S00000319,U0091228,desktop,direct,30-05-2023 23:06,30-05-2023 23:08,168
S00000320,U0091228,desktop,referral,06-06-2023 19:33,06-06-2023 19:33,16
S00000321,U0091228,mobile,direct,29-12-2023 00:08,29-12-2023 00:08,14
S00000322,U0091228,mobile,organic,23-05-2023 08:40,23-05-2023 08:49,545
S00000323,U0091228,tablet,paid_ads,16-06-2024 22:47,16-06-2024 22:47,9
S00000324,U0091228,desktop,referral,22-02-2024 21:58,22-02-2024 22:02,207
S00000325,U0091228,mobile,organic,05-09-2023 19:28,05-09-2023 19:30,117
S00000326,U0091228,mobile,paid_ads,20-11-2023 23:11,20-11-2023 23:14,183
S00000327,U0091228,desktop,organic,01-05-2024 05:43,01-05-2024 05:52,574
S00000328,U0091228,mobile,direct,08-03-2023 15:15,08-03-2023 15:19,229
S00000329,U0091228,mobile,referral,19-06-2023 03:19,19-06-2023 03:21,110
S00000330,U0091228,mobile,organic,18-07-2023 14:40,18-07-2023 14:43,182
S00000331,U0091228,mobile,organic,06-11-2023 02:22,06-11-2023 02:24,140
S00000332,U0091228,desktop,organic,05-03-2023 10:50,05-03-2023 10:53,227
